"","F_SCORE_adj","F_SCORE","F_ROA_chg_ind_adj","F_CFO_ind_adj","F_ACCRUAL_ind_adj","F_MARGIN_chg_ind_adj","F_TURN_chg_ind_adj","F_LEVER_chg_ind_adj","F_LIQUID_chg_ind_adj","F_EQUITY_ind_adj","gvkey","datadate","fyear","datadate.1","tic","cusip","bm_ratio","market_cap","quintile","cap_group"
"47945",3,NA,0,0,1,0,0,1,1,0,185076,20131231,2013,20131231,"TWY.","90212Y100",0.413793103448276,2.45543,3,1
"47961",6,6,1,1,1,1,1,1,0,0,185112,20131231,2013,20131231,"IPHI","45772F107",0.408542635658915,390.1476,3,13
"47985",1,NA,0,0,0,0,0,0,0,1,185126,20131231,2013,20131231,"BRAZ","37950E788",NA,9.585,NA,3
"48038",6,NA,1,0,1,1,1,1,0,1,185165,20131231,2013,20131231,"BHOR","07724Q102",NA,NA,NA,NA
"48065",3,3,0,1,1,0,0,0,0,1,185181,20131231,2013,20131231,"ANFC","09216Q103",1.05470588235294,32.6264,5,6
"48163",1,NA,0,0,0,0,0,0,0,1,185248,20131231,2013,20131231,"AXDI","464289636",NA,4.2679,NA,2
"48183",1,NA,0,0,0,0,0,0,0,1,185253,20131231,2013,20131231,"AXIT","464289586",NA,3.303,NA,2
"48204",4,NA,0,1,0,0,0,1,0,1,185259,20131231,2013,20131231,"PBY.UN","138080106",0.98338195077484,244.51033,4,11
"48230",3,NA,1,0,0,0,0,1,0,0,185281,20131231,2013,20131231,"TSGZF","89678B109",1.534,5.8665,5,2
"48321",7,NA,1,1,1,1,1,1,0,0,185339,20131231,2013,20131231,"STAG","85254J102",0.508415890142227,912.73796,3,15
"48348",0,NA,0,0,0,0,0,0,0,0,185350,20131231,2013,20131231,"SCHO","808524862",NA,434.73,NA,13
"48372",0,NA,0,0,0,0,0,0,0,0,185356,20131231,2013,20131231,"CHI.","46433T106",NA,9.684,NA,3
"48395",2,NA,1,0,0,1,0,0,0,0,185369,20131231,2013,20131231,"EL.","29282R108",0.00333333333333333,2.17746,1,1
"48465",3,NA,1,0,0,1,1,0,0,0,185428,20131231,2013,20131231,"ECYT","29269A102",0.228483146067416,386.14608,2,13
"48491",4,NA,1,1,1,0,0,0,0,0,185453,20131231,2013,20131231,"WSR","966084204",0.735594614809274,293.39128,4,12
"48530",4,NA,0,1,1,0,0,1,1,0,185511,20131231,2013,20131231,"SRMLF","86221R102",0.614913580246914,354.30615,4,12
"48548",5,5,0,1,1,0,1,1,0,0,185524,20131231,2013,20131231,"CCSC","22238M109",0.57617296222664,267.33444,3,12
"48571",0,NA,0,0,0,0,0,0,0,0,185534,20131231,2013,20131231,"VOOG","921932505",NA,189.9955,NA,10
"48615",0,NA,0,0,0,0,0,0,0,0,185547,20131231,2013,20131231,"GNR","78463X541",NA,497.376,NA,13
"48639",0,NA,0,0,0,0,0,0,0,0,185556,20131231,2013,20131231,"HXT.","44049A124",NA,978.6054,NA,15
"48698",0,NA,0,0,0,0,0,0,0,0,185593,20131231,2013,20131231,"HYI","95768B107",NA,403.48693,NA,13
"48790",0,NA,0,0,0,0,0,0,0,0,185632,20131231,2013,20131231,"EPHE","46429B408",NA,263.86,NA,11
"48833",6,6,0,0,1,1,1,1,1,1,185683,20131231,2013,20131231,"ICOR","45866J106",-0.0336,50.74375,1,7
"48885",2,NA,0,0,1,0,0,1,0,0,185730,20140430,2013,20140430,"CDBMF","21852Q404",1.26438356164384,42.93276,5,6
"48910",5,5,0,1,0,0,1,1,1,0,185769,20131231,2013,20131231,"SODA","M9068E105",0.319856970185334,1036.7314,2,15
"48933",6,6,1,1,1,0,1,1,0,0,185783,20131231,2013,20131231,"NOAH","65487X102",0.225477777777778,995.328,2,15
"48958",0,NA,0,0,0,0,0,0,0,0,185801,20130731,2013,20130731,"MNAI","609013107",-0.0222972972972973,8.843,1,3
"48984",2,NA,0,0,1,0,0,1,0,0,185820,20131231,2013,20131231,"OZTCF","67787B202",0.34,1.24469,2,1
